Date,Govt,Corp,Equity,Govt,Corp,Equity,
01-Oct-20,115.96,490.73,6956.2,1.1596,1.203507051,1.349293174,
02-Oct-20,115.85,490.28,6889.65,1.1585,1.202403433,1.336384479,
05-Oct-20,115.31,488.2,7014.23,1.1531,1.197302269,1.360549245,
06-Oct-20,115.47,490.02,6916.4,1.1547,1.201765788,1.341573173,
07-Oct-20,115.24,489.14,7036.91,1.1524,1.199607603,1.364948482,
08-Oct-20,115.41,490.47,7095.4,1.1541,1.202869405,1.376293779,
09-Oct-20,115.35,490.46,7157.92,1.1535,1.20284488,1.388420775,
13-Oct-20,115.68,492.86,7229.55,1.1568,1.20873084,1.402314836,
14-Oct-20,115.73,493.2,7182.38,1.1573,1.209564684,1.393165278,
15-Oct-20,115.68,492.67,7171.61,1.1568,1.208264868,1.391076222,
16-Oct-20,115.59,492.7,7172.7,1.1559,1.208338443,1.39128765,
19-Oct-20,115.49,492.09,7055.58,1.1549,1.206842428,1.368569899,
20-Oct-20,115.26,490.99,7089.06,1.1526,1.204144697,1.37506401,
21-Oct-20,115.16,490.31,7073.65,1.1516,1.202477008,1.372074934,
22-Oct-20,114.86,488.67,7111.17,1.1486,1.198454936,1.379352684,
23-Oct-20,115.01,489.91,7135.81,1.1501,1.201496015,1.384132101,
26-Oct-20,115.27,491.35,7003.21,1.1527,1.20502759,1.358411697,
27-Oct-20,115.45,492.7,6982.14,1.1545,1.208338443,1.354324752,
28-Oct-20,115.48,492.32,6735.75,1.1548,1.207406499,1.306532517,
29-Oct-20,115.19,490.48,6816.79,1.1519,1.20289393,1.322251835,
30-Oct-20,114.92,488.6,6734.84,1.1492,1.198283262,1.306356005,
02-Nov-20,115.09,489.53,6817.89,1.1509,1.200564071,1.322465202,
03-Nov-20,114.93,489.3,6939.3,1.1493,1.2,1.346015083,
04-Nov-20,115.56,493.76,7092.3,1.1556,1.210938075,1.375692472,
05-Nov-20,115.6,496.01,7231.67,1.156,1.216456162,1.402726052,
06-Nov-20,115.26,494.77,7230.51,1.1526,1.213415083,1.402501047,
09-Nov-20,114.65,494.3,7315.77,1.1465,1.212262416,1.419038918,
10-Nov-20,114.47,492.59,7306.75,1.1447,1.20806867,1.41728931,
12-Nov-20,115.04,495.2,7290.69,1.1504,1.214469651,1.414174154,
13-Nov-20,114.97,494.77,7390.61,1.1497,1.213415083,1.433555623,
16-Nov-20,114.92,494.79,7476.79,1.1492,1.213464132,1.450271946,
17-Nov-20,115.12,496.48,7442.04,1.1512,1.217608829,1.443531493,
18-Nov-20,115.16,497.73,7357.34,1.1516,1.220674433,1.427102245,
19-Nov-20,115.29,498.98,7386.86,1.1529,1.223740037,1.432828236,
20-Nov-20,115.5,500.47,7336.76,1.155,1.227394237,1.423110346,
23-Nov-20,115.38,500.14,7378.94,1.1538,1.226584917,1.431291994,
24-Nov-20,115.17,499.32,7498.29,1.1517,1.224573881,1.454442298,
25-Nov-20,115.12,499.13,7486.68,1.1512,1.224107909,1.452190308,
27-Nov-20,115.36,500.85,7505.38,1.1536,1.22832618,1.455817544,
30-Nov-20,115.35,501.52,7472.06,1.1535,1.229969344,1.449354468,
01-Dec-20,114.92,500.5,7556.51,1.1492,1.227467811,1.465735223,
02-Dec-20,114.73,499.64,7570.76,1.1473,1.225358676,1.468499294,
03-Dec-20,114.97,501.48,7567.44,1.1497,1.229871245,1.467855314,
04-Dec-20,114.58,498.88,7634.77,1.1458,1.223494788,1.480915305,
07-Dec-20,114.86,500.51,7620,1.1486,1.227492336,1.47805037,
08-Dec-20,114.97,500.18,7641.43,1.1497,1.226683017,1.482207144,
09-Dec-20,114.86,498.78,7581.06,1.1486,1.22324954,1.470497184,
10-Dec-20,115.11,500.26,7571.87,1.1511,1.226879215,1.4687146,
11-Dec-20,115.24,500.72,7562.46,1.1524,1.228007357,1.466889344,
14-Dec-20,115.19,500.47,7530.87,1.1519,1.227394237,1.460761836,
15-Dec-20,115.11,500.15,7628.28,1.1511,1.226609442,1.479656441,
16-Dec-20,115.04,500.38,7641.82,1.1504,1.227173513,1.482282793,
17-Dec-20,114.96,500.29,7686.18,1.1496,1.22695279,1.490887296,
18-Dec-20,114.89,499.97,7659.75,1.1489,1.226167995,1.485760672,
21-Dec-20,114.98,500.41,7630.07,1.1498,1.227247088,1.480003647,
22-Dec-20,115.12,501.11,7614.83,1.1512,1.228963826,1.477047546,
23-Dec-20,114.95,500.23,7620.63,1.1495,1.226805641,1.478172571,
24-Dec-20,115.05,501.01,7648.39,1.1505,1.228718578,1.483557175,
28-Dec-20,115.07,501.25,7715.1,1.1507,1.229307174,1.496496904,
29-Dec-20,115.05,501.51,7697.93,1.1505,1.229944819,1.493166442,
30-Dec-20,115.1,502.18,7709.1,1.151,1.231587983,1.495333085,
31-Dec-20,115.15,502.86,7759.35,1.1515,1.233255671,1.505080071,
04-Jan-21,115.17,502.51,7645.27,1.1517,1.232397302,1.482951989,
05-Jan-21,114.96,500.65,7700.34,1.1496,1.227835684,1.493633909,
06-Jan-21,114.41,497.01,7744.43,1.1441,1.218908645,1.50218604,
07-Jan-21,114.15,495.88,7861.1,1.1415,1.216137339,1.524816505,
08-Jan-21,114.01,495.18,7905.28,1.1401,1.214420601,1.533386093,
11-Jan-21,113.93,494.79,7853.45,1.1393,1.213464132,1.523332635,
12-Jan-21,113.92,494.74,7856.72,1.1392,1.213341508,1.523966916,
13-Jan-21,114.2,497.15,7874.75,1.142,1.219251993,1.527464193,
14-Jan-21,113.99,496.28,7846.1,1.1399,1.217118332,1.521906957,
15-Jan-21,114.14,497.18,7789.79,1.1414,1.219325567,1.510984513,
19-Jan-21,114.24,498.08,7853.47,1.1424,1.221532802,1.523336514,
20-Jan-21,114.26,498.24,7962.92,1.1426,1.221925199,1.544566516,
21-Jan-21,114.12,497.26,7966.11,1.1412,1.219521766,1.54518528,
22-Jan-21,114.2,496.93,7942.2,1.142,1.218712446,1.540547461,
25-Jan-21,114.52,498.43,7970.92,1.1452,1.222391171,1.546118275,
26-Jan-21,114.48,498.1,7959.1,1.1448,1.221581852,1.543825551,
27-Jan-21,114.56,498.29,7754.74,1.1456,1.222047823,1.50418587,
28-Jan-21,114.4,497.37,7831.22,1.144,1.219791539,1.519020685,
29-Jan-21,114.27,496.47,7681.01,1.1427,1.217584304,1.489884472,
01-Feb-21,114.32,496.69,7804.31,1.1432,1.21812385,1.513800956,
02-Feb-21,114.14,495.6,7912.87,1.1414,1.215450644,1.534858324,
03-Feb-21,113.91,494.35,7920.85,1.1391,1.21238504,1.536406204,
04-Feb-21,113.86,494.35,8007.62,1.1386,1.21238504,1.553236969,
05-Feb-21,113.66,493.49,8039.67,1.1366,1.210275904,1.559453703,
08-Feb-21,113.74,494.44,8099.33,1.1374,1.212605763,1.571025945,
09-Feb-21,113.76,494.98,8091.7,1.1376,1.213930104,1.569545955,
10-Feb-21,113.95,496.09,8089.11,1.1395,1.216652361,1.569043573,
11-Feb-21,113.84,495.38,8104.19,1.1384,1.214911097,1.571968639,
12-Feb-21,113.52,493.37,8142.79,1.1352,1.209981606,1.579455876,
16-Feb-21,113.06,491,8139.16,1.1306,1.204169221,1.578751765,
17-Feb-21,113.18,492.24,8137.88,1.1318,1.2072103,1.578503484,
18-Feb-21,113.14,492.39,8102.24,1.1314,1.207578173,1.571590398,
19-Feb-21,112.8,490.23,8087.68,1.128,1.202280809,1.568766196,
22-Feb-21,112.63,488.27,8025.81,1.1263,1.197473942,1.556765281,
23-Feb-21,112.61,487.28,8036.06,1.1261,1.195045984,1.558753472,
24-Feb-21,112.44,486.14,8127.38,1.1244,1.192250153,1.5764668,
25-Feb-21,111.61,481.42,7929.56,1.1161,1.180674433,1.538095681,
26-Feb-21,112.48,487.53,7892.81,1.1248,1.195659105,1.530967289,
01-Mar-21,112.26,486.16,8080.78,1.1226,1.192299203,1.567427804,
02-Mar-21,112.34,486.51,8015.54,1.1234,1.193157572,1.55477321,
03-Mar-21,111.98,484.3,7911.21,1.1198,1.187737584,1.534536334,
04-Mar-21,111.73,482.51,7806.45,1.1173,1.183347639,1.514216051,
05-Mar-21,111.7,480.64,7958.98,1.117,1.178761496,1.543802275,
08-Mar-21,111.43,478.74,7916.41,1.1143,1.174101778,1.535544978,
09-Mar-21,111.78,479.94,8029.2,1.1178,1.177044758,1.557422839,
10-Mar-21,111.89,480.94,8078.05,1.1189,1.179497241,1.566898267,
11-Mar-21,111.79,480.97,8162.58,1.1179,1.179570815,1.583294539,
12-Mar-21,111.22,477.58,8172.9,1.1122,1.171256898,1.585296308,
15-Mar-21,111.36,478.23,8226.32,1.1136,1.172851012,1.595658179,
16-Mar-21,111.31,477.93,8213.63,1.1131,1.172115267,1.593196701,
17-Mar-21,111.21,477,8237.35,1.1121,1.169834457,1.597797666,
18-Mar-21,110.88,475.2,8116.17,1.1088,1.165419988,1.574292398,
19-Mar-21,110.94,476.17,8112.13,1.1094,1.167798896,1.57350876,
22-Mar-21,111.21,477.84,8169.14,1.1121,1.171894543,1.584566982,
23-Mar-21,111.49,479.57,8106.83,1.1149,1.176137339,1.572480719,
24-Mar-21,111.62,480.17,8063,1.1162,1.177608829,1.56397902,
25-Mar-21,111.49,479.23,8105.51,1.1149,1.175303495,1.572224679,
26-Mar-21,111.32,478.42,8240.38,1.1132,1.173316983,1.598385395,
29-Mar-21,111.1,477.54,8233.24,1.111,1.171158798,1.59700045,
30-Mar-21,111.15,478.33,8208.1,1.1115,1.17309626,1.592124048,
31-Mar-21,111.03,478.84,8238.48,1.1103,1.174347026,1.598016852,
01-Apr-21,111.35,481.83,8335.91,1.1135,1.181679951,1.616915336,
02-Apr-21,111.12,480.67,8335.91,1.1112,1.178835071,1.616915336,
05-Apr-21,111.2,481.42,8457.4,1.112,1.180674433,1.640480735,
06-Apr-21,111.48,482.91,8449.54,1.1148,1.184328633,1.638956132,
07-Apr-21,111.37,482.13,8462.18,1.1137,1.182415696,1.641407911,
08-Apr-21,111.6,483.62,8499.85,1.116,1.186069896,1.648714756,
09-Apr-21,111.46,482.84,8565.57,1.1146,1.184156959,1.661462455,
12-Apr-21,111.42,482.85,8564.03,1.1142,1.184181484,1.661163742,
13-Apr-21,111.66,484.08,8592.25,1.1166,1.187198038,1.666637571,
14-Apr-21,111.57,484.07,8558.16,1.1157,1.187173513,1.660025138,
15-Apr-21,112,486.52,8653.29,1.12,1.193182097,1.678477492,
16-Apr-21,111.8,485.1,8684.51,1.118,1.189699571,1.684533231,
19-Apr-21,111.76,484.23,8638.42,1.1176,1.18756591,1.67559316,
20-Apr-21,111.94,484.78,8579.95,1.1194,1.188914776,1.664251742,
21-Apr-21,111.98,485.24,8659.8,1.1198,1.190042918,1.679740236,
22-Apr-21,112.06,485.93,8580.73,1.1206,1.191735132,1.664403038,
23-Apr-21,111.97,485.73,8674.8,1.1197,1.191244635,1.682649784,
26-Apr-21,111.92,485.83,8690.26,1.1192,1.191489884,1.685648558,
27-Apr-21,111.67,484.32,8688.45,1.1167,1.187786634,1.685297472,
28-Apr-21,111.75,484.63,8681.17,1.1175,1.188546904,1.683885372,
29-Apr-21,111.67,484.01,8740.35,1.1167,1.187026364,1.695364508,
30-Apr-21,111.74,484.59,8678.16,1.1174,1.188448804,1.683301522,
03-May-21,111.8,484.99,8702.02,1.118,1.189429798,1.687929643,
